trending_date,category_name,views,avg_likes,num_trending_videos
2017-12-01,Sports,4947643,6902.777777777777,9
2017-12-02,Autos & Vehicles,2655904,22053.333333333332,3
2017-12-02,Comedy,24083012,62287.34782608696,23
2017-12-02,Education,1036301,15347.333333333334,3
2017-12-02,Entertainment,100519422,76140.3829787234,47
2017-12-02,Film & Animation,6746854,14733.0,11
2017-12-02,Gaming,72700,3982.0,1
2017-12-02,Howto & Style,5328146,14277.64705882353,17
2017-12-02,Music,38325548,64696.02702702703,37
2017-12-02,News & Politics,7367157,5848.894736842105,19
2017-12-02,Nonprofits & Activism,2005,0.0,1
2017-12-02,People & Blogs,6783035,22006.928571428572,14
2017-12-02,Pets & Animals,3730872,26142.25,4
2017-12-02,Science & Technology,15040048,50950.916666666664,12
2017-12-02,Sports,4802877,6246.5,8
2017-12-03,Autos & Vehicles,3217737,25772.666666666668,3
2017-12-03,Comedy,16837274,56679.10526315789,19
2017-12-03,Education,1094026,15879.0,3
2017-12-03,Entertainment,116831712,71669.83333333333,54
2017-12-03,Film & Animation,7554867,19003.9,10
2017-12-03,Gaming,88588,2144.5,2
2017-12-03,Howto & Style,5164442,12566.75,16
2017-12-03,Music,59952048,75138.73809523809,42
2017-12-03,News & Politics,7405817,6948.25,16
2017-12-03,Nonprofits & Activism,2093,0.0,1
2017-12-03,People & Blogs,7480521,23389.64285714286,14
2017-12-03,Pets & Animals,5131006,32350.25,4
2017-12-03,Science & Technology,16415839,57400.90909090909,11
2017-12-03,Sports,5093234,10322.6,5
2017-12-04,Autos & Vehicles,3652894,28251.666666666668,3
2017-12-04,Comedy,20043612,68481.77777777778,18
2017-12-04,Education,2776656,12744.875,8
2017-12-04,Entertainment,126880875,76050.81481481482,54
2017-12-04,Film & Animation,8167435,20201.2,10
2017-12-04,Gaming,96043,2207.0,2
2017-12-04,Howto & Style,12263141,17526.9375,16
2017-12-04,Music,74946299,98825.11428571428,35
2017-12-04,News & Politics,7308575,7125.928571428572,14
2017-12-04,People & Blogs,8556309,19724.055555555555,18
2017-12-04,Pets & Animals,6040839,36185.0,4
2017-12-04,Science & Technology,11046954,35867.875,8
2017-12-04,Sports,2812344,3924.222222222222,9
2017-12-04,Travel & Events,341584,11547.0,1
2017-12-05,Autos & Vehicles,2404510,19189.333333333332,3
2017-12-05,Comedy,18387739,67017.3125,16
2017-12-05,Education,2605504,11878.875,8
2017-12-05,Entertainment,138551821,82143.38461538461,52
2017-12-05,Film & Animation,8581140,21058.3,10
2017-12-05,Gaming,100269,2237.0,2
2017-12-05,Howto & Style,21857851,29400.5,18
2017-12-05,Music,89138602,107127.61111111111,36
2017-12-05,News & Politics,7546406,6801.214285714285,14
2017-12-05,People & Blogs,9885482,21637.777777777777,18
2017-12-05,Pets & Animals,1600104,19036.0,3
2017-12-05,Science & Technology,12206286,37788.375,8
2017-12-05,Sports,2576643,3543.181818181818,11
2017-12-05,Travel & Events,420650,12910.0,1
2017-12-06,Autos & Vehicles,1360455,24600.0,2
2017-12-06,Comedy,16529643,56082.117647058825,17
2017-12-06,Education,3000833,10465.5,10
2017-12-06,Entertainment,145170831,86627.96,50
2017-12-06,Film & Animation,6976584,20779.666666666668,9
2017-12-06,Gaming,102088,4537.0,1
2017-12-06,Howto & Style,23000116,32052.58823529412,17
2017-12-06,Music,96244451,112904.23684210527,38
2017-12-06,News & Politics,5779605,4639.933333333333,15
2017-12-06,People & Blogs,11341620,24946.944444444445,18
2017-12-06,Pets & Animals,1367138,29524.0,2
2017-12-06,Science & Technology,12372025,48642.5,6
2017-12-06,Sports,12555104,27514.85714285714,14
2017-12-06,Travel & Events,480970,13941.0,1
2017-12-07,Autos & Vehicles,1394730,25040.5,2
2017-12-07,Comedy,15127282,60459.0625,16
2017-12-07,Education,3667837,10896.916666666666,12
2017-12-07,Entertainment,171866538,103525.32692307692,52
2017-12-07,Film & Animation,9774615,27210.8,10
2017-12-07,Gaming,764989,7308.0,2
2017-12-07,Howto & Style,26895151,41374.0,14
2017-12-07,Music,110630287,141302.75757575757,33
2017-12-07,News & Politics,3312922,1976.2666666666667,15
2017-12-07,People & Blogs,12256245,28136.1875,16
2017-12-07,Pets & Animals,1634092,22065.333333333332,3
2017-12-07,Science & Technology,13580189,40380.88888888889,9
2017-12-07,Sports,14510665,27491.866666666665,15
2017-12-07,Travel & Events,521205,14606.0,1
2017-12-08,Autos & Vehicles,25030,98.5,2
2017-12-08,Comedy,11446860,33723.117647058825,17
2017-12-08,Education,4118523,19903.1,10
2017-12-08,Entertainment,187807306,110462.38461538461,52
2017-12-08,Film & Animation,6003889,36990.5,8
2017-12-08,Gaming,1554365,10820.0,3
2017-12-08,Howto & Style,40977718,41896.71428571428,21
2017-12-08,Music,111974601,209149.65217391305,23
2017-12-08,News & Politics,1890697,2618.529411764706,17
2017-12-08,Nonprofits & Activism,1967,19.0,1
2017-12-08,People & Blogs,10047676,18434.136363636364,22
2017-12-08,Pets & Animals,1068215,14106.5,2
2017-12-08,Science & Technology,2793660,16716.285714285714,7
2017-12-08,Sports,15371509,31690.30769230769,13
2017-12-08,Travel & Events,638345,9032.5,2
2017-12-09,Autos & Vehicles,53978,323.0,1
2017-12-09,Comedy,13370111,37627.5625,16
2017-12-09,Education,4613088,24935.222222222223,9
2017-12-09,Entertainment,118827961,74787.73333333334,45
2017-12-09,Film & Animation,6965568,18762.0,8
2017-12-09,Gaming,5745395,27090.85714285714,7
2017-12-09,Howto & Style,49970215,42594.619047619046,21
2017-12-09,Music,58732822,135152.0,27
2017-12-09,News & Politics,3101467,3323.5,18
2017-12-09,Nonprofits & Activism,2373,19.0,1
2017-12-09,People & Blogs,11920713,19295.48,25
2017-12-09,Pets & Animals,1188036,15589.5,2
2017-12-09,Science & Technology,2867274,24163.2,5
2017-12-09,Sports,16486158,32641.46153846154,13
2017-12-09,Travel & Events,746754,9926.5,2
2017-12-10,Autos & Vehicles,61876,335.0,1
2017-12-10,Comedy,9673327,29341.066666666666,15
2017-12-10,Education,4176237,26572.125,8
2017-12-10,Entertainment,156995620,82891.08163265306,49
2017-12-10,Film & Animation,8986661,21474.875,8
2017-12-10,Gaming,6637664,28953.428571428572,7
2017-12-10,Howto & Style,60186561,42860.52173913043,23
2017-12-10,Music,40241626,100733.11111111111,27
2017-12-10,News & Politics,3995271,3974.0,18
2017-12-10,Nonprofits & Activism,2492,19.0,1
2017-12-10,People & Blogs,14355028,21222.615384615383,26
2017-12-10,Pets & Animals,1301137,16811.5,2
2017-12-10,Science & Technology,2791314,29585.25,4
2017-12-10,Sports,17393221,42998.9,10
2017-12-10,Travel & Events,202927,4929.0,1
2017-12-11,Autos & Vehicles,67213,343.0,1
2017-12-11,Comedy,13546532,45536.6,15
2017-12-11,Education,3353580,26894.714285714286,7
2017-12-11,Entertainment,180002162,85502.32692307692,52
2017-12-11,Film & Animation,9902006,26317.571428571428,7
2017-12-11,Gaming,7163508,29857.571428571428,7
2017-12-11,Howto & Style,68701506,45030.90909090909,22
2017-12-11,Music,47841163,103989.75,28
2017-12-11,News & Politics,4677472,4081.45,20
2017-12-11,People & Blogs,17220097,25203.28,25
2017-12-11,Pets & Animals,195246,3259.5,2
2017-12-11,Science & Technology,2890845,24125.8,5
2017-12-11,Sports,18182222,61982.57142857143,7
2017-12-11,Travel & Events,264436,3070.0,2
2017-12-12,Autos & Vehicles,80781,211.0,2
2017-12-12,Comedy,16862089,49265.17647058824,17
2017-12-12,Education,3404567,26887.0,7
2017-12-12,Entertainment,218121421,107476.15384615384,52
2017-12-12,Film & Animation,10861214,31174.428571428572,7
2017-12-12,Gaming,7565959,30363.14285714286,7
2017-12-12,Howto & Style,13861341,26584.347826086956,23
2017-12-12,Music,37400367,86865.31818181818,22
