ds,predicted_views,yhat_lower,yhat_upper
2018-02-20,69175230.801254,18044135.41547854,119925387.40895244
2018-02-21,71332365.41785792,22751049.02951819,122728601.1320562
2018-02-22,75050075.69476146,28019566.447721485,122624985.44172704
2018-02-23,70447670.05119738,16657114.689352311,118333276.45486784
2018-02-24,65535037.25124504,15268155.8869902,112873076.4291288
2018-02-25,66484113.86906795,12712522.941776514,116038356.97987583
2018-02-26,76777867.84438783,26593338.09864777,126163577.99184991
2018-02-27,73281731.00525972,26185733.022292424,124860469.1407828
2018-02-28,75699697.88884439,29438211.869106684,126646662.34214924
2018-03-01,79934751.49178638,32629135.47671894,132739189.96598051
2018-03-02,75588856.90733357,23108279.91909441,125481168.76687212
2018-03-03,70932735.16646208,20400080.873100296,119018253.92308754
2018-03-04,72138322.84338267,17909942.620776027,122462100.222231
2018-03-05,82688587.87778945,38158455.535010494,131368485.50593282
2018-03-06,79448962.09775105,29916945.891956303,131743659.27515368
2018-03-07,82123440.0404163,32538892.97903766,133035568.47118229
2018-03-08,86549829.69309977,34324539.170792446,136952861.57732764
2018-03-09,82395271.15835296,30201859.427310355,130102236.39344844
2018-03-10,77930485.46719673,33459376.560745895,129608989.64714842
2018-03-11,79327409.19382505,30942788.23246984,129289302.47809336
2018-03-12,90069010.27796444,40618021.15287383,138848314.1996075
2018-03-13,87020720.54764487,36682167.49251907,135581370.6881198
2018-03-14,89974127.32370986,42771346.61084379,143493236.574483
2018-03-15,94488109.76006503,43017014.80000276,146501525.55465394
2018-03-16,90421144.00900148,41220202.253665745,140969032.16954073
2018-03-17,86043951.10153744,34453884.22425672,133122903.66679056
2018-03-18,87528467.61183794,36299151.77145537,140522392.58167058
2018-03-19,98357661.47966649,48048801.72231591,149937587.94800454
2018-03-20,95396964.53302984,46018162.19516466,143314573.78019276
2018-03-21,98350371.34278426,49699535.40085861,149795973.75217375
2018-03-22,102864353.812812,51663836.22008088,149377072.6972371
2018-03-23,98797388.09543902,50682393.827524886,149933895.4845422
2018-03-24,94420195.22166017,42204309.89568875,144014439.25811195
2018-03-25,95904711.76564316,45897745.22858698,145783007.59050912
2018-03-26,106733905.66714977,56080897.08357416,154914194.48694015
2018-03-27,103773208.72610904,53850835.29928883,150029198.02194086
2018-03-28,106726615.50777656,60237612.15908753,159435364.1897251
2018-03-29,111240597.94974424,62364934.49763385,161524398.36444002
2018-03-30,107173632.20427692,56347109.58359457,156758042.19509155
2018-03-31,102796439.30241144,53431350.9610681,152779997.4584728
2018-04-01,104280955.81832734,55405366.62534623,154264729.563329
2018-04-02,115110149.69175288,67157077.51708306,163744769.11028764
2018-04-03,112149452.74592347,63151141.00539308,161079597.36259624
2018-04-04,115102859.52281664,65386966.28977325,163699786.45874646
2018-04-05,119616841.96000728,70133151.29139021,167794741.43213114
2018-04-06,115549876.20977388,67033311.98335077,164687131.7151205
2018-04-07,111172683.3031304,61594968.58576641,161221033.4170373
2018-04-14,119548927.2943108,70534326.52945971,168987374.05230618
2018-04-15,121033443.79927193,71390320.97658221,174434871.52017847
2018-04-16,131862637.66175789,79489324.89938244,179853224.00533304
2018-04-17,128901940.7097725,77219532.87946151,178518333.27090916
2018-04-18,131855347.48049629,82968986.82106707,178862145.68681207
2018-04-19,136369329.9115179,87992627.034927,187671831.9061081
2018-04-20,132302364.15512516,84910509.63638161,178421099.826093
2018-04-21,127925171.24233542,83021256.06462824,177948345.033172
2018-04-22,129409687.7466935,77581149.08847791,177406996.6563869
2018-04-23,140238881.60857275,86847246.79451893,188390474.6709
2018-04-24,137278184.65599757,88765455.50948231,182993241.18755057
2018-04-25,140231591.4261092,88992571.15223502,189204827.18658412
2018-04-26,144745573.85652548,95624525.33237997,192057493.4782311
2018-04-27,140678608.09953073,94014065.63292184,190786085.0025371
2018-04-28,136301415.1682933,90020793.62719204,183941553.81009343
2018-04-29,137785931.6548282,88898078.84588785,187715721.98214617
2018-04-30,148615125.49887025,99455323.54765232,200768463.89331332
2018-05-01,145654428.52845216,98712206.47056577,194690879.28385553
2018-05-02,148607835.2807189,104550533.70912036,199311487.3298989
2018-05-03,153121817.69331363,103829097.52691284,202300278.8766307
2018-05-04,149054851.91846994,99021025.00357948,200339825.0946433
2018-05-05,144677658.98922363,97106910.52478307,192207616.46049795
2018-05-06,146162175.47773352,94792619.2383679,195495228.06518063
2018-05-07,156991369.3237633,107466834.64451922,207891769.2808416
2018-05-08,154030672.35532373,105726063.1702446,204075901.97149777
2018-05-09,156984079.10959294,105496768.42421664,202927484.0979673
2018-05-10,161498061.52416307,113818447.32727209,212870809.36846948
2018-05-11,157431095.75132623,105706484.09636684,208387069.5472289
2018-05-12,153053902.8220513,101389564.93029933,199224012.15034017
2018-05-13,154538419.3105658,102404252.5113392,203439903.40795663
2018-05-14,165367613.15659314,114061447.54173012,213681434.66613463
2018-05-15,162406916.18816012,110852863.5583368,216315688.0248978
2018-05-16,165360322.94242176,116690424.15128092,214136395.19704628
2018-05-17,169874305.35698104,122227361.70302916,221784779.58707765
2018-05-18,165807339.58414602,116921259.80781835,215770880.85735187
2018-05-19,161430146.65487245,110926550.21223947,210440017.0770881
2018-05-20,162914663.14340192,112141478.79405726,211684343.44187993
2018-05-21,173743856.98942304,123515007.87599447,220574001.35095108
2018-05-22,170783160.02098662,116170556.53590776,220173012.20912713
2018-05-23,173736566.7752546,124299048.73418078,221433452.2399432
2018-05-24,178250549.1898254,130811644.11667164,230532055.34667632
2018-05-25,174183583.41696584,126933621.8285595,224782565.1281082
2018-05-26,169806390.48770726,121768940.71512347,218913761.74395669
2018-05-27,171290906.97623608,120982259.3845656,217229102.5586778
2018-05-28,182120100.82224268,131626758.29496014,231580034.08040497
2018-05-29,179159403.85381502,132479834.67835882,231346413.70945355
2018-05-30,182112810.6080945,135411345.66946495,230218390.357278
2018-05-31,186626793.02264595,140070774.5295192,243559655.89100453
2018-06-01,182559827.24978563,130439312.43019594,228462526.97367027
2018-06-02,178182634.32053494,130022516.10487722,226101757.61582577
2018-06-03,179667150.80905616,128214285.41120444,229394529.64435735
