date,forecast_views
2018-03-18,94026349.90852319
2018-03-19,100417795.62861645
2018-03-20,114436751.66555187
2018-03-21,117383433.90246236
2018-03-22,122930072.29685146
2018-03-23,129850542.3857156
2018-03-24,135725869.1551764
2018-03-25,140182234.80923426
2018-03-26,126711611.26312393
2018-03-27,130699709.63210592
2018-03-28,133650196.24896854
2018-03-29,129593964.45338392
2018-03-30,133643171.8612114
2018-03-31,90673127.60474646
2018-04-01,97993855.11149332
2018-04-02,100291697.50201276
2018-04-03,111393598.83879998
2018-04-04,106639317.06533961
2018-04-05,110088665.46431154
2018-04-06,115665003.15203446
2018-04-07,109908498.59157968
2018-04-14,114261067.72566907
2018-04-15,119324391.64843723
2018-04-16,121665259.7299364
2018-04-17,125798447.28426124
2018-04-18,124207564.05783232
2018-04-19,133519560.99751875
2018-04-20,114757384.06092234
2018-04-21,107809892.01662791
2018-04-22,108139679.89958888
2018-04-23,113597127.56247504
2018-04-24,111934043.34505498
2018-04-25,99806184.44995762
2018-04-26,143728870.68976426
2018-04-27,163581572.622556
2018-04-28,181851521.8008591
2018-04-29,190948065.88590148
2018-04-30,195704463.12406862
2018-05-01,187413267.8135843
2018-05-02,189020686.96748453
2018-05-03,185590817.0180466
2018-05-04,192528159.7427445
2018-05-05,201742210.97239435
2018-05-06,199238180.27348226
2018-05-07,198030715.81623518
2018-05-08,199592582.2509935
2018-05-09,206242369.87775406
2018-05-10,209763981.76337835
2018-05-11,217661058.23470423
2018-05-12,218300908.4428865
2018-05-13,175454404.99369535
2018-05-14,132228267.25224306
2018-05-15,252664630.44288373
2018-05-16,148487124.89116305
2018-05-17,143773669.67760056
2018-05-18,134649041.77517346
2018-05-19,136388488.61794025
2018-05-20,146947198.65405202
2018-05-21,138435645.4463988
2018-05-22,157662913.64958853
2018-05-23,159126426.7839312
2018-05-24,178716818.43270648
2018-05-25,181074428.3525719
2018-05-26,195273364.29984763
2018-05-27,164253642.6374135
2018-05-28,163209241.363443
2018-05-29,166277798.67311063
2018-05-30,176819700.60925525
2018-05-31,162078390.7720235
2018-06-01,157094451.77540934
2018-06-02,174382173.37996715
2018-06-03,181242957.72863257
2018-06-04,181457581.38593036
2018-06-05,191516438.7026985
2018-06-06,192060997.24552256
2018-06-07,190350583.98512647
2018-06-08,193469660.34207985
2018-06-09,194259867.94686866
2018-06-10,199920982.17459452
2018-06-11,185495132.65310353
2018-06-12,180975720.79139477
2018-06-13,172738571.64925975
2018-06-14,171654604.37095267
